Alloy_or_not,Pt_or_not,Weight_ratio (wt%),Particle_size (nm),Surface_area (m2/g),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV)
1,0,20.3,10.0,712.0,0.0,0.3,10,21.0
1,0,14.0,25.0,193.9,3.1,0.3,100,404.0
0,1,1.5,3.0,1129.26,12.4,0.3,10,33.9
1,0,100.0,1.3,43.54,0.0,14.0,20,49.0
1,0,22.0,9.76,157.0,0.0,0.3,50,440.0
0,1,7.2,3.76,766.0,2.29,0.3,20,133.0
1,0,62.92,28.38,41.37,3.51,14.0,10,28.0
0,0,61.52,4.8,47.2,2.53,0.3,20,192.0
0,0,78.06,5.35,31.1,0.0,0.3,40,163.0
0,0,14.55,39.1,208.9,1.34,14.0,40,245.0
0,1,4.8,2.85,426.0,4.3,0.3,50,83.0
0,1,10.2,2.0,402.0,0.0,0.3,50,50.0
1,1,7.91,7.3,658.0,1.77,14.0,40,233.0
0,0,18.08,25.0,329.6,1.22,14.0,20,343.0
1,0,27.9,10.0,87.86,1.66,0.3,20,181.0
0,1,0.35,1.0,92.85,0.0,0.7,150,226.0
1,1,16.63,10.0,388.9,10.7,0.3,10,58.0
0,1,0.8,3.0,587.3,9.0,0.3,60,94.0
0,0,43.52,4.52,64.3,0.0,0.3,40,156.8
1,0,27.9,10.0,87.86,1.66,0.3,10,150.0
0,0,19.26,21.04,157.0,0.0,0.3,80,583.0
1,0,20.3,10.0,712.0,0.0,0.3,20,50.0
0,1,18.7,4.0,527.0,6.98,0.3,50,93.0
0,1,1.0,0.54,282.0,12.08,0.3,100,100.0
1,0,25.15,23.3,2.8,9.88,14.3,50,248.0
1,1,6.36,7.3,702.0,1.89,14.0,20,146.0
0,1,0.452,1.0,86.67,1.4,0.3,20,61.0
0,1,5.4,0.35,122.0,0.0,0.0,100,112.0
1,0,9.92,10.0,170.41,7.86,13.0,40,210.0
0,1,4.8,2.85,426.0,4.3,0.3,40,71.0
0,1,9.5,5.0,109.75,4.5,7.4,50,149.0
0,0,19.99,30.0,541.2,17.36,13.0,20,183.0
0,1,0.44,0.35,900.0,2.75,0.3,20,20.0
1,0,27.9,10.0,87.86,1.66,14.0,20,103.0
0,0,5.6,5.2,490.0,0.0,0.3,10,63.0
0,0,10.74,10.0,204.2,0.0,14.0,80,246.0
1,0,100.0,10.0,52.8,0.0,13.0,10,56.0
0,1,18.7,4.0,527.0,6.98,0.3,20,47.0
0,0,0.0,0.0,160.63,5.0,0.3,20,703.0
0,1,5.8,4.3,27.2,0.0,0.3,100,96.9
1,0,15.4,30.0,257.2,1.8,0.3,40,186.0
0,0,1.86,10.0,970.0,0.0,0.3,20,109.0
1,0,14.0,25.0,193.9,3.1,0.3,80,360.0
0,0,62.09,4.8,43.3,0.87,14.0,20,255.0
0,0,8.0,15.0,453.0,4.2,0.3,10,396.0
0,0,55.61,20.0,91.98,2.15,13.0,50,479.0
1,0,91.4,20.0,83.5,0.0,14.0,150,285.0
0,1,0.5,0.35,28.0,0.0,0.3,50,143.5
0,0,60.2,4.8,78.9,1.89,7.4,60,261.0
0,1,3.75,5.0,136.6,3.7,14.0,20,85.5
1,1,10.0,15.0,79.01,0.0,14.0,100,231.0
0,0,85.0,20.0,62.8,0.0,14.0,200,315.0
0,1,7.2,3.76,2871.0,3.53,0.3,60,50.0
1,0,27.9,10.0,87.86,1.66,0.3,200,338.0
0,1,2.0,0.61,282.0,12.08,0.3,10,35.28
0,1,3.75,5.0,136.6,3.7,7.4,40,148.0
1,0,4.43,3.5,716.3,0.0,0.3,80,109.0
