Alloy_or_not,Pt_or_not,Weight_ratio (wt%),Particle_size (nm),Surface_area (m2/g),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV)
1,0,19.15,20.0,320.1,1.22,14.0,60,338.0
0,1,7.49,5.0,128.4,3.5,14.0,20,73.0
0,0,19.99,30.0,541.2,17.36,13.0,50,222.0
0,1,11.24,10.0,96.5,3.4,0.3,20,36.7
0,1,1.26,4.2,604.94,0.0,14.0,10,42.0
1,0,91.4,20.0,83.5,0.0,14.0,80,244.0
0,0,43.52,4.52,64.3,0.0,0.3,10,117.6
0,0,47.85,35.1,150.4,1.0,14.0,20,121.0
0,1,5.4,0.35,122.0,0.0,0.0,50,71.0
1,0,23.73,11.58,157.0,0.0,0.3,40,486.0
0,0,1.01,3.0,647.6,0.0,7.4,10,129.0
1,1,6.36,7.3,702.0,1.89,14.0,80,346.0
0,1,5.8,4.3,27.2,0.0,0.3,60,76.3
1,0,22.4,30.0,257.2,2.3,14.0,60,239.0
0,0,85.0,20.0,62.8,0.0,14.0,20,147.0
0,1,0.34,1.0,89.4,0.0,0.3,50,70.0
1,0,45.2,30.0,184.92,3.58,0.3,50,36.0
1,0,27.9,10.0,87.86,1.66,7.4,10,254.0
1,0,35.39,8.9,100.06,0.0,14.0,10,27.0
0,0,1.86,10.0,970.0,0.0,14.0,40,105.0
0,1,17.2,3.05,55.8,0.0,0.3,20,21.0
0,1,0.35,1.0,92.85,0.0,0.5,20,58.0
0,0,62.09,4.8,43.3,0.87,0.3,20,239.0
1,0,37.0,10.0,110.3494,2.24,14.0,200,254.0
1,0,27.9,10.0,87.86,1.66,14.0,60,177.0
0,1,1.26,4.2,604.94,0.0,14.0,60,105.0
1,0,27.9,10.0,87.86,1.66,14.0,100,223.0
